"","ID","habitacao","tempo_res_atual","patrimonio","telefone","proposito","reserva","n_corresponsaveis","classe"
"1",1,"própria",4,"imobiliária","Sim, registrado em nome do cliente","rádio/televisão","desconhecido/semcontapoupança",1,"Bom"
"2",2,"própria",2,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Ruim"
"3",3,"própria",3,"imobiliária","Nenhum","educação","< 100",2,"Bom"
"4",4,"de graça",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","móveis/equipamentos","< 100",2,"Bom"
"5",5,"de graça",4,"desconhecido/sem propriedade","Nenhum","carro (novo)","< 100",2,"Ruim"
"6",6,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","educação","desconhecido/semcontapoupança",2,"Bom"
"7",7,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","móveis/equipamentos","500 - 1000",1,"Bom"
"8",8,"alugada",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Bom"
"9",9,"própria",4,"imobiliária","Nenhum","rádio/televisão","> 1000",1,"Bom"
"10",10,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","< 100",1,"Ruim"
"11",11,"alugada",1,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","< 100",1,"Ruim"
"12",12,"alugada",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","negócios","< 100",1,"Ruim"
"13",13,"própria",1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Bom"
"14",14,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","< 100",1,"Ruim"
"15",15,"alugada",4,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","< 100",1,"Bom"
"16",16,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","100 - 500",1,"Ruim"
"17",17,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","rádio/televisão","desconhecido/semcontapoupança",1,"Bom"
"18",18,"própria",3,"carro ou outro, não em conta poupança/títulos","Nenhum","negócios","desconhecido/semcontapoupança",1,"Bom"
"19",19,"de graça",2,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Ruim"
"20",20,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","500 - 1000",2,"Bom"
"21",21,"própria",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Bom"
"22",22,"alugada",3,"imobiliária","Nenhum","rádio/televisão","500 - 1000",2,"Bom"
"23",23,"alugada",3,"imobiliária","Nenhum","carro (novo)","< 100",2,"Bom"
"24",24,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (usado)","100 - 500",1,"Bom"
"25",25,"própria",1,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","desconhecido/semcontapoupança",1,"Bom"
"26",26,"própria",2,"imobiliária","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Bom"
"27",27,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",1,"Bom"
"28",28,"alugada",3,"imobiliária","Nenhum","rádio/televisão","> 1000",1,"Bom"
"29",29,"própria",2,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"30",30,"própria",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","negócios","< 100",1,"Ruim"
"31",31,"própria",3,"imobiliária","Sim, registrado em nome do cliente","negócios","> 1000",1,"Bom"
"32",32,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"33",33,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (novo)","100 - 500",1,"Bom"
"34",34,"alugada",4,"desconhecido/sem propriedade","Nenhum","negócios","desconhecido/semcontapoupança",1,"Bom"
"35",35,"própria",1,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Bom"
"36",36,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","rádio/televisão","< 100",1,"Ruim"
"37",37,"de graça",3,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","educação","< 100",1,"Bom"
"38",38,"própria",2,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Ruim"
"39",39,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","eletrodomésticos","< 100",1,"Bom"
"40",40,"própria",3,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"41",41,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","500 - 1000",1,"Bom"
"42",42,"própria",1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","500 - 1000",1,"Bom"
"43",43,"própria",4,"imobiliária","Sim, registrado em nome do cliente","reparos","< 100",2,"Bom"
"44",44,"alugada",4,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (usado)","100 - 500",1,"Bom"
"45",45,"de graça",4,"desconhecido/sem propriedade","Nenhum","carro (usado)","< 100",1,"Ruim"
"46",46,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","< 100",1,"Bom"
"47",47,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","500 - 1000",1,"Bom"
"48",48,"alugada",2,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","carro (usado)","500 - 1000",1,"Bom"
"49",49,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (novo)","< 100",1,"Bom"
"50",50,"própria",2,"imobiliária","Nenhum","rádio/televisão","100 - 500",1,"Bom"
"51",51,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","móveis/equipamentos","desconhecido/semcontapoupança",1,"Bom"
"52",52,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Bom"
"53",53,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",1,"Bom"
"54",54,"própria",1,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","carro (usado)","desconhecido/semcontapoupança",1,"Bom"
"55",55,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Ruim"
"56",56,"própria",2,"imobiliária","Nenhum","carro (novo)","desconhecido/semcontapoupança",2,"Bom"
"57",57,"própria",1,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","rádio/televisão","desconhecido/semcontapoupança",1,"Ruim"
"58",58,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",1,"Bom"
"59",59,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","< 100",1,"Bom"
"60",60,"alugada",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Ruim"
"61",61,"própria",1,"imobiliária","Sim, registrado em nome do cliente","negócios","< 100",1,"Bom"
"62",62,"própria",4,"imobiliária","Sim, registrado em nome do cliente","rádio/televisão","desconhecido/semcontapoupança",1,"Bom"
"63",63,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","negócios","< 100",1,"Ruim"
"64",64,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","negócios","< 100",1,"Ruim"
"65",65,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Bom"
"66",66,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","reparos","desconhecido/semcontapoupança",2,"Bom"
"67",67,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",1,"Bom"
"68",68,"própria",1,"imobiliária","Nenhum","carro (novo)","> 1000",1,"Bom"
"69",69,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","educação","< 100",1,"Ruim"
"70",70,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","desconhecido/semcontapoupança",1,"Bom"
"71",71,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (usado)","< 100",1,"Bom"
"72",72,"alugada",2,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","rádio/televisão","desconhecido/semcontapoupança",1,"Bom"
"73",73,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (usado)","< 100",2,"Bom"
"74",74,"própria",1,"imobiliária","Nenhum","negócios","< 100",1,"Bom"
"75",75,"própria",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","educação","desconhecido/semcontapoupança",1,"Ruim"
"76",76,"de graça",4,"desconhecido/sem propriedade","Nenhum","carro (usado)","< 100",1,"Bom"
"77",77,"própria",3,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",1,"Ruim"
"78",78,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","rádio/televisão","< 100",1,"Bom"
"79",79,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (usado)","desconhecido/semcontapoupança",2,"Bom"
"80",80,"própria",1,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"81",81,"própria",1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","desconhecido/semcontapoupança",1,"Ruim"
"82",82,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","rádio/televisão","500 - 1000",1,"Bom"
"83",83,"alugada",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","negócios","100 - 500",1,"Bom"
"84",84,"própria",4,"imobiliária","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Bom"
"85",85,"própria",4,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"86",86,"própria",2,"imobiliária","Sim, registrado em nome do cliente","negócios","< 100",1,"Bom"
"87",87,"própria",1,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","móveis/equipamentos","< 100",1,"Bom"
