"","status_conta","duracao_mes","hist_credito","proposito","qtdd_credito","reserva","temp_man_empr_atual","percen_tx_rendim_disp","genero","estado_civil","dev_fiadores","tempo_res_atual","patrimonio","idade_anos","outros_par","habitacao","n_creditos","status_ocupacional","n_corresponsaveis","telefone","estrangeiro","classe","ID"
"1","Negativo",6,"Pendente (outros bancos)","rádio/televisão",1169,"desconhecido/semcontapoupança","> 7",4,"Homem"," solteiro","nenhum",4,"imobiliária",67,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",1
"2","Regular",48,"Pago em dia","rádio/televisão",5951,"< 100","1 - 4",2,"Mulher","uniao registrada","nenhum",2,"imobiliária",22,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",2
"3","Inexistente",12,"Pendente (outros bancos)","educação",2096,"< 100","4 - 7",2,"Homem"," solteiro","nenhum",3,"imobiliária",49,"nenhum","própria",1,"não qualificado - residente",2,"Nenhum","Sim","Bom",3
"4","Negativo",42,"Pago em dia","móveis/equipamentos",7882,"< 100","4 - 7",2,"Homem"," solteiro","fiador",4,"contrato de poupança/seguro de vida da sociedade civil",45,"nenhum","de graça",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Bom",4
"5","Negativo",24,"Pago mas já esteve em atraso","carro (novo)",4870,"< 100","1 - 4",3,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",53,"nenhum","de graça",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Ruim",5
"6","Inexistente",36,"Pago em dia","educação",9055,"desconhecido/semcontapoupança","1 - 4",2,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",35,"nenhum","de graça",1,"não qualificado - residente",2,"Sim, registrado em nome do cliente","Sim","Bom",6
"7","Inexistente",24,"Pago em dia","móveis/equipamentos",2835,"500 - 1000","> 7",3,"Homem"," solteiro","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",53,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",7
"8","Regular",36,"Pago em dia","carro (usado)",6948,"< 100","1 - 4",2,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",35,"nenhum","alugada",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",8
"9","Inexistente",12,"Pago em dia","rádio/televisão",3059,"> 1000","4 - 7",2,"Homem","uniao registrada","nenhum",4,"imobiliária",61,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",9
"10","Regular",30,"Pendente (outros bancos)","carro (novo)",5234,"< 100","desempregado",4,"Homem","uniao registrada","nenhum",2,"carro ou outro, não em conta poupança/títulos",28,"nenhum","própria",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Nenhum","Sim","Ruim",10
"11","Regular",12,"Pago em dia","carro (novo)",1295,"< 100","...<1ano",3,"Mulher","uniao registrada","nenhum",1,"carro ou outro, não em conta poupança/títulos",25,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",11
