"","X","status_conta","duracao_mes","hist_credito","proposito","qtdd_credito","reserva","temp_man_empr_atual","percen_tx_rendim_disp","genero","estado_civil","dev_fiadores","tempo_res_atual","patrimonio","idade_anos","outros_par","habitacao","n_creditos","status_ocupacional","n_corresponsaveis","telefone","estrangeiro","classe","ID"
"1",1,"Negativo",6,"Pendente (outros bancos)","rádio/televisão",1169,"Desconhecido/Inexistente","> 7",4,"Homem"," solteiro","nenhum",4,"Imóvel",67,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",1
"2",2,"Regular",48,"Pago em dia","rádio/televisão",5951,"< 100","1 - 4",2,"Mulher","uniao registrada","nenhum",2,"Imóvel",22,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",2
"3",3,"Inexistente",12,"Pendente (outros bancos)","educação",2096,"< 100","4 - 7",2,"Homem"," solteiro","nenhum",3,"Imóvel",49,"nenhum","própria",1,"não qualificado - residente",2,"Nenhum","Sim","Bom",3
"4",4,"Negativo",42,"Pago em dia","móveis/equipamentos",7882,"< 100","4 - 7",2,"Homem"," solteiro","fiador",4,"Poupança/
Seguro de vida",45,"nenhum","de graça",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Bom",4
"5",5,"Negativo",24,"Pago mas já esteve em atraso","carro (novo)",4870,"< 100","1 - 4",3,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",53,"nenhum","de graça",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Ruim",5
"6",6,"Inexistente",36,"Pago em dia","educação",9055,"Desconhecido/Inexistente","1 - 4",2,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",35,"nenhum","de graça",1,"não qualificado - residente",2,"Sim, registrado em nome do cliente","Sim","Bom",6
"7",7,"Inexistente",24,"Pago em dia","móveis/equipamentos",2835,"500 - 1000","> 7",3,"Homem"," solteiro","nenhum",4,"Poupança/
Seguro de vida",53,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",7
"8",8,"Regular",36,"Pago em dia","carro (usado)",6948,"< 100","1 - 4",2,"Homem"," solteiro","nenhum",2,"Carro/outro",35,"nenhum","alugada",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",8
"9",9,"Inexistente",12,"Pago em dia","rádio/televisão",3059,"> 1000","4 - 7",2,"Homem","uniao registrada","nenhum",4,"Imóvel",61,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",9
"10",10,"Regular",30,"Pendente (outros bancos)","carro (novo)",5234,"< 100","desempregado",4,"Homem","uniao registrada","nenhum",2,"Carro/outro",28,"nenhum","própria",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Nenhum","Sim","Ruim",10
"11",11,"Regular",12,"Pago em dia","carro (novo)",1295,"< 100","...<1ano",3,"Mulher","uniao registrada","nenhum",1,"Carro/outro",25,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",11
"12",12,"Negativo",48,"Pago em dia","negócios",4308,"< 100","...<1ano",3,"Mulher","uniao registrada","nenhum",4,"Poupança/
Seguro de vida",24,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",12
"13",13,"Regular",12,"Pago em dia","rádio/televisão",1567,"< 100","1 - 4",1,"Mulher","uniao registrada","nenhum",1,"Carro/outro",22,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",13
"14",14,"Negativo",24,"Pendente (outros bancos)","carro (novo)",1199,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"Carro/outro",60,"nenhum","própria",2,"não qualificado - residente",1,"Nenhum","Sim","Ruim",14
"15",15,"Negativo",15,"Pago em dia","carro (novo)",1403,"< 100","1 - 4",2,"Mulher","uniao registrada","nenhum",4,"Carro/outro",28,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",15
"16",16,"Negativo",24,"Pago em dia","rádio/televisão",1282,"100 - 500","1 - 4",4,"Mulher","uniao registrada","nenhum",2,"Carro/outro",32,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Ruim",16
"17",17,"Inexistente",24,"Pendente (outros bancos)","rádio/televisão",2424,"Desconhecido/Inexistente","> 7",4,"Homem"," solteiro","nenhum",4,"Poupança/
Seguro de vida",53,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",17
"18",18,"Negativo",30,"Quitados","negócios",8072,"Desconhecido/Inexistente","...<1ano",2,"Homem"," solteiro","nenhum",3,"Carro/outro",25,"banco","própria",3,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",18
"19",19,"Regular",24,"Pago em dia","carro (usado)",12579,"< 100","> 7",4,"Mulher","uniao registrada","nenhum",2,"Sem posses/
desconhecido",44,"nenhum","de graça",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",19
"20",20,"Inexistente",24,"Pago em dia","rádio/televisão",3430,"500 - 1000","> 7",3,"Homem"," solteiro","nenhum",2,"Carro/outro",31,"nenhum","própria",1,"funcionário/funcionário qualificado",2,"Sim, registrado em nome do cliente","Sim","Bom",20
"21",21,"Inexistente",9,"Pendente (outros bancos)","carro (novo)",2134,"< 100","1 - 4",4,"Homem"," solteiro","nenhum",4,"Carro/outro",48,"nenhum","própria",3,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",21
"22",22,"Negativo",6,"Pago em dia","rádio/televisão",2647,"500 - 1000","1 - 4",2,"Homem"," solteiro","nenhum",3,"Imóvel",44,"nenhum","alugada",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Bom",22
"23",23,"Negativo",10,"Pendente (outros bancos)","carro (novo)",2241,"< 100","...<1ano",1,"Homem"," solteiro","nenhum",3,"Imóvel",48,"nenhum","alugada",2,"não qualificado - residente",2,"Nenhum","Não","Bom",23
"24",24,"Regular",12,"Pendente (outros bancos)","carro (usado)",1804,"100 - 500","...<1ano",3,"Homem"," solteiro","nenhum",4,"Poupança/
Seguro de vida",44,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",24
"25",25,"Inexistente",10,"Pendente (outros bancos)","móveis/equipamentos",2069,"Desconhecido/Inexistente","1 - 4",2,"Homem","uniao registrada","nenhum",1,"Carro/outro",26,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Não","Bom",25
"26",26,"Negativo",6,"Pago em dia","móveis/equipamentos",1374,"< 100","1 - 4",1,"Homem"," solteiro","nenhum",2,"Imóvel",36,"banco","própria",1,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Bom",26
"27",27,"Inexistente",6,"Quitados","rádio/televisão",426,"< 100","> 7",4,"Homem","uniao registrada","nenhum",4,"Carro/outro",39,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",27
"28",28,"Alto",12,"Quitados","rádio/televisão",409,"> 1000","1 - 4",3,"Mulher","uniao registrada","nenhum",3,"Imóvel",42,"nenhum","alugada",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",28
"29",29,"Regular",7,"Pago em dia","rádio/televisão",2415,"< 100","1 - 4",3,"Homem"," solteiro","fiador",2,"Imóvel",34,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",29
