status_conta,duracao_mes,hist_credito,proposito,qtdd_credito,reserva,temp_man_empr_atual,percen_tx_rendim_disp,genero,estado_civil,dev_fiadores,tempo_res_atual,patrimonio,idade_anos,outros_par,habitacao,n_creditos,status_ocupacional,n_corresponsaveis,telefone,estrangeiro,classe,ID
Negativo,6,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,1169,Desconhecido/Inexistente,> 7,4,Homem, solteiro,nenhum,4,Imóvel,67,nenhum,própria,2,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,1
Regular,48,Em aberto mas em dia,rádio/televisão,5951,< 100,1 - 4,2,Mulher,uniao registrada,nenhum,2,Imóvel,22,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Ruim,2
Inexistente,12,conta crítica/outros créditos existentes (não neste banco),educação,2096,< 100,4 - 7,2,Homem, solteiro,nenhum,3,Imóvel,49,nenhum,própria,1,"Desempregado/
não qualificado",2,Nenhum,Sim,Bom,3
Negativo,42,Em aberto mas em dia,móveis/equipamentos,7882,< 100,4 - 7,2,Homem, solteiro,fiador,4,"Poupança/
Seguro de vida",45,nenhum,de graça,1,"Empregado
qualificado",2,Nenhum,Sim,Bom,4
Negativo,24,Pago mas já esteve em atraso,carro (novo),4870,< 100,1 - 4,3,Homem, solteiro,nenhum,4,"Sem posses/
desconhecido",53,nenhum,de graça,2,"Empregado
qualificado",2,Nenhum,Sim,Ruim,5
Inexistente,36,Em aberto mas em dia,educação,9055,Desconhecido/Inexistente,1 - 4,2,Homem, solteiro,nenhum,4,"Sem posses/
desconhecido",35,nenhum,de graça,1,"Desempregado/
não qualificado",2,"Sim, registrado em nome do cliente",Sim,Bom,6
Inexistente,24,Em aberto mas em dia,móveis/equipamentos,2835,500 - 1000,> 7,3,Homem, solteiro,nenhum,4,"Poupança/
Seguro de vida",53,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,7
Regular,36,Em aberto mas em dia,carro (usado),6948,< 100,1 - 4,2,Homem, solteiro,nenhum,2,Carro/outro,35,nenhum,alugada,1,"Empregado em 
 cargo superior
 qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,8
Inexistente,12,Em aberto mas em dia,rádio/televisão,3059,> 1000,4 - 7,2,Homem,uniao registrada,nenhum,4,Imóvel,61,nenhum,própria,1,"Desempregado/
não qualificado",1,Nenhum,Sim,Bom,9
Regular,30,conta crítica/outros créditos existentes (não neste banco),carro (novo),5234,< 100,desempregado,4,Homem,uniao registrada,nenhum,2,Carro/outro,28,nenhum,própria,2,"Empregado em 
 cargo superior
 qualificado",1,Nenhum,Sim,Ruim,10
