ID,status_conta,duracao_mes,hist_credito,qtdd_credito,percen_tx_rendim_disp,dev_fiadores,outros_par,n_creditos,classe
1,negativo,6,conta crítica/outros créditos existentes (não neste banco),1169,4,nenhum,nenhum,2,Bom
2,regular,48,créditos existentes pagos devidamente até agora,5951,2,nenhum,nenhum,1,Ruim
3, inexistente,12,conta crítica/outros créditos existentes (não neste banco),2096,2,nenhum,nenhum,1,Bom
4,negativo,42,créditos existentes pagos devidamente até agora,7882,2,fiador,nenhum,1,Bom
5,negativo,24,atraso no pagamento no passado,4870,3,nenhum,nenhum,2,Ruim
6, inexistente,36,créditos existentes pagos devidamente até agora,9055,2,nenhum,nenhum,1,Bom
7, inexistente,24,créditos existentes pagos devidamente até agora,2835,3,nenhum,nenhum,1,Bom
8,regular,36,créditos existentes pagos devidamente até agora,6948,2,nenhum,nenhum,1,Bom
9, inexistente,12,créditos existentes pagos devidamente até agora,3059,2,nenhum,nenhum,1,Bom
10,regular,30,conta crítica/outros créditos existentes (não neste banco),5234,4,nenhum,nenhum,2,Ruim
11,regular,12,créditos existentes pagos devidamente até agora,1295,3,nenhum,nenhum,1,Ruim
12,negativo,48,créditos existentes pagos devidamente até agora,4308,3,nenhum,nenhum,1,Ruim
13,regular,12,créditos existentes pagos devidamente até agora,1567,1,nenhum,nenhum,1,Bom
14,negativo,24,conta crítica/outros créditos existentes (não neste banco),1199,4,nenhum,nenhum,2,Ruim
15,negativo,15,créditos existentes pagos devidamente até agora,1403,2,nenhum,nenhum,1,Bom
16,negativo,24,créditos existentes pagos devidamente até agora,1282,4,nenhum,nenhum,1,Ruim
17, inexistente,24,conta crítica/outros créditos existentes (não neste banco),2424,4,nenhum,nenhum,2,Bom
18,negativo,30,nenhum crédito obtido/todos os créditos pagos devidamente,8072,2,nenhum,banco,3,Bom
19,regular,24,créditos existentes pagos devidamente até agora,12579,4,nenhum,nenhum,1,Ruim
20, inexistente,24,créditos existentes pagos devidamente até agora,3430,3,nenhum,nenhum,1,Bom
21, inexistente,9,conta crítica/outros créditos existentes (não neste banco),2134,4,nenhum,nenhum,3,Bom
22,negativo,6,créditos existentes pagos devidamente até agora,2647,2,nenhum,nenhum,1,Bom
23,negativo,10,conta crítica/outros créditos existentes (não neste banco),2241,1,nenhum,nenhum,2,Bom
24,regular,12,conta crítica/outros créditos existentes (não neste banco),1804,3,nenhum,nenhum,1,Bom
25, inexistente,10,conta crítica/outros créditos existentes (não neste banco),2069,2,nenhum,nenhum,2,Bom
26,negativo,6,créditos existentes pagos devidamente até agora,1374,1,nenhum,banco,1,Bom
27, inexistente,6,nenhum crédito obtido/todos os créditos pagos devidamente,426,4,nenhum,nenhum,1,Bom
28,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,12,todos os créditos deste banco foram devidamente pagos,409,3,nenhum,nenhum,2,Bom
29,regular,7,créditos existentes pagos devidamente até agora,2415,3,fiador,nenhum,1,Bom
30,negativo,60,atraso no pagamento no passado,6836,3,nenhum,nenhum,2,Ruim
31,regular,18,créditos existentes pagos devidamente até agora,1913,3,nenhum,banco,1,Bom
32,negativo,24,créditos existentes pagos devidamente até agora,4020,2,nenhum,lojas,1,Bom
33,regular,18,créditos existentes pagos devidamente até agora,5866,2,nenhum,nenhum,2,Bom
34, inexistente,12,conta crítica/outros créditos existentes (não neste banco),1264,4,nenhum,nenhum,1,Bom
35,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,12,créditos existentes pagos devidamente até agora,1474,4,nenhum,banco,1,Bom
36,regular,45,conta crítica/outros créditos existentes (não neste banco),4746,4,nenhum,nenhum,2,Ruim
37, inexistente,48,conta crítica/outros créditos existentes (não neste banco),6110,1,nenhum,banco,1,Bom
38,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,18,créditos existentes pagos devidamente até agora,2100,4,co-requerente,lojas,1,Ruim
39,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,10,créditos existentes pagos devidamente até agora,1225,2,nenhum,nenhum,1,Bom
40,regular,9,créditos existentes pagos devidamente até agora,458,4,nenhum,nenhum,1,Bom
41, inexistente,30,créditos existentes pagos devidamente até agora,2333,4,nenhum,banco,1,Bom
42,regular,12,créditos existentes pagos devidamente até agora,1158,3,nenhum,nenhum,1,Bom
43,regular,18,atraso no pagamento no passado,6204,2,nenhum,nenhum,1,Bom
44,negativo,30,conta crítica/outros créditos existentes (não neste banco),6187,1,nenhum,nenhum,2,Bom
45,negativo,48,conta crítica/outros créditos existentes (não neste banco),6143,4,nenhum,lojas,2,Ruim
46, inexistente,11,conta crítica/outros créditos existentes (não neste banco),1393,4,nenhum,nenhum,2,Bom
47, inexistente,36,créditos existentes pagos devidamente até agora,2299,4,nenhum,nenhum,1,Bom
48,negativo,6,créditos existentes pagos devidamente até agora,1352,1,nenhum,nenhum,1,Bom
49, inexistente,11,conta crítica/outros créditos existentes (não neste banco),7228,1,nenhum,nenhum,2,Bom
50, inexistente,12,créditos existentes pagos devidamente até agora,2073,4,co-requerente,nenhum,1,Bom
51,regular,24,atraso no pagamento no passado,2333,4,nenhum,banco,1,Bom
52,regular,27,atraso no pagamento no passado,5965,1,nenhum,nenhum,2,Bom
53, inexistente,12,créditos existentes pagos devidamente até agora,1262,3,nenhum,nenhum,1,Bom
54, inexistente,18,créditos existentes pagos devidamente até agora,3378,2,nenhum,nenhum,1,Bom
55,regular,36,atraso no pagamento no passado,2225,4,nenhum,banco,2,Ruim
56, inexistente,6,todos os créditos deste banco foram devidamente pagos,783,1,fiador,lojas,1,Bom
57,regular,12,créditos existentes pagos devidamente até agora,6468,2,nenhum,nenhum,1,Ruim
58, inexistente,36,conta crítica/outros créditos existentes (não neste banco),9566,2,nenhum,lojas,2,Bom
59,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,18,créditos existentes pagos devidamente até agora,1961,3,nenhum,nenhum,1,Bom
60,negativo,36,conta crítica/outros créditos existentes (não neste banco),6229,4,co-requerente,nenhum,2,Ruim
61,regular,9,créditos existentes pagos devidamente até agora,1391,2,nenhum,banco,1,Bom
62,regular,15,conta crítica/outros créditos existentes (não neste banco),1537,4,fiador,nenhum,2,Bom
63,regular,36,nenhum crédito obtido/todos os créditos pagos devidamente,1953,4,nenhum,nenhum,1,Ruim
64,regular,48,nenhum crédito obtido/todos os créditos pagos devidamente,14421,2,nenhum,nenhum,1,Ruim
65, inexistente,24,créditos existentes pagos devidamente até agora,3181,4,nenhum,nenhum,1,Bom
66, inexistente,27,créditos existentes pagos devidamente até agora,5190,4,nenhum,nenhum,4,Bom
67, inexistente,12,créditos existentes pagos devidamente até agora,2171,2,nenhum,banco,1,Bom
68,regular,12,créditos existentes pagos devidamente até agora,1007,4,nenhum,nenhum,1,Bom
69, inexistente,36,créditos existentes pagos devidamente até agora,1819,4,nenhum,lojas,1,Ruim
70, inexistente,36,créditos existentes pagos devidamente até agora,2394,4,nenhum,nenhum,1,Bom
71, inexistente,36,créditos existentes pagos devidamente até agora,8133,1,nenhum,banco,1,Bom
72, inexistente,7,conta crítica/outros créditos existentes (não neste banco),730,4,nenhum,nenhum,2,Bom
73,negativo,8,conta crítica/outros créditos existentes (não neste banco),1164,3,nenhum,banco,2,Bom
74,regular,42,conta crítica/outros créditos existentes (não neste banco),5954,2,nenhum,banco,2,Bom
75,negativo,36,créditos existentes pagos devidamente até agora,1977,4,nenhum,nenhum,1,Ruim
76,negativo,12,conta crítica/outros créditos existentes (não neste banco),1526,4,nenhum,nenhum,2,Bom
77,negativo,42,créditos existentes pagos devidamente até agora,3965,4,nenhum,nenhum,1,Ruim
78,regular,11,atraso no pagamento no passado,4771,2,nenhum,nenhum,1,Bom
79, inexistente,54,nenhum crédito obtido/todos os créditos pagos devidamente,9436,2,nenhum,nenhum,1,Bom
80,regular,30,créditos existentes pagos devidamente até agora,3832,2,nenhum,nenhum,1,Bom
81, inexistente,24,créditos existentes pagos devidamente até agora,5943,1,nenhum,nenhum,2,Ruim
82, inexistente,15,créditos existentes pagos devidamente até agora,1213,4,nenhum,lojas,1,Bom
83, inexistente,18,créditos existentes pagos devidamente até agora,1568,3,nenhum,nenhum,1,Bom
84,negativo,24,créditos existentes pagos devidamente até agora,1755,4,fiador,nenhum,1,Bom
85,negativo,10,créditos existentes pagos devidamente até agora,2315,3,nenhum,nenhum,1,Bom
86, inexistente,12,conta crítica/outros créditos existentes (não neste banco),1412,4,fiador,nenhum,2,Bom
87,regular,18,conta crítica/outros créditos existentes (não neste banco),1295,4,nenhum,nenhum,2,Bom
88,regular,36,créditos existentes pagos devidamente até agora,12612,1,nenhum,nenhum,1,Ruim
89,negativo,18,créditos existentes pagos devidamente até agora,2249,4,nenhum,nenhum,1,Bom
90,negativo,12,nenhum crédito obtido/todos os créditos pagos devidamente,1108,4,nenhum,nenhum,2,Ruim
91, inexistente,12,conta crítica/outros créditos existentes (não neste banco),618,4,nenhum,nenhum,1,Bom
92,negativo,12,conta crítica/outros créditos existentes (não neste banco),1409,4,nenhum,nenhum,1,Bom
93, inexistente,12,conta crítica/outros créditos existentes (não neste banco),797,4,nenhum,banco,1,Ruim
94,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,24,conta crítica/outros créditos existentes (não neste banco),3617,4,co-requerente,nenhum,2,Bom
95,regular,12,créditos existentes pagos devidamente até agora,1318,4,nenhum,nenhum,1,Bom
96,regular,54,nenhum crédito obtido/todos os créditos pagos devidamente,15945,3,nenhum,nenhum,1,Ruim
97, inexistente,12,conta crítica/outros créditos existentes (não neste banco),2012,4,nenhum,nenhum,1,Bom
98,regular,18,créditos existentes pagos devidamente até agora,2622,4,nenhum,nenhum,1,Bom
99,regular,36,conta crítica/outros créditos existentes (não neste banco),2337,4,nenhum,nenhum,1,Bom
100,regular,20,atraso no pagamento no passado,7057,3,nenhum,banco,2,Bom
101, inexistente,24,créditos existentes pagos devidamente até agora,1469,4,nenhum,nenhum,1,Bom
102,regular,36,créditos existentes pagos devidamente até agora,2323,4,nenhum,nenhum,1,Bom
103, inexistente,6,atraso no pagamento no passado,932,3,nenhum,nenhum,1,Bom
104,regular,9,conta crítica/outros créditos existentes (não neste banco),1919,4,nenhum,nenhum,1,Bom
105, inexistente,12,créditos existentes pagos devidamente até agora,2445,2,nenhum,nenhum,1,Bom
106,regular,24,conta crítica/outros créditos existentes (não neste banco),11938,2,co-requerente,nenhum,2,Ruim
107, inexistente,18,todos os créditos deste banco foram devidamente pagos,6458,2,nenhum,banco,2,Ruim
108,regular,12,créditos existentes pagos devidamente até agora,6078,2,nenhum,nenhum,1,Bom
109,negativo,24,créditos existentes pagos devidamente até agora,7721,1,nenhum,nenhum,1,Bom
110,regular,14,créditos existentes pagos devidamente até agora,1410,1,nenhum,nenhum,1,Bom
111,regular,6,atraso no pagamento no passado,1449,1,nenhum,banco,2,Bom
112,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,15,créditos existentes pagos devidamente até agora,392,4,nenhum,nenhum,1,Bom
113,regular,18,créditos existentes pagos devidamente até agora,6260,3,nenhum,nenhum,1,Bom
114, inexistente,36,conta crítica/outros créditos existentes (não neste banco),7855,4,nenhum,lojas,2,Ruim
115,negativo,12,créditos existentes pagos devidamente até agora,1680,3,nenhum,nenhum,1,Bom
116, inexistente,48,conta crítica/outros créditos existentes (não neste banco),3578,4,nenhum,nenhum,1,Bom
117,negativo,42,créditos existentes pagos devidamente até agora,7174,4,nenhum,nenhum,1,Ruim
118,negativo,10,conta crítica/outros créditos existentes (não neste banco),2132,2,co-requerente,nenhum,2,Bom
119,negativo,33,conta crítica/outros créditos existentes (não neste banco),4281,1,nenhum,nenhum,2,Ruim
120,regular,12,conta crítica/outros créditos existentes (não neste banco),2366,3,nenhum,nenhum,1,Bom
121,negativo,21,créditos existentes pagos devidamente até agora,1835,3,nenhum,nenhum,2,Ruim
122, inexistente,24,conta crítica/outros créditos existentes (não neste banco),3868,4,nenhum,nenhum,2,Bom
123, inexistente,12,créditos existentes pagos devidamente até agora,1768,3,nenhum,nenhum,1,Bom
124,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,10,conta crítica/outros créditos existentes (não neste banco),781,4,nenhum,nenhum,2,Bom
125,regular,18,créditos existentes pagos devidamente até agora,1924,4,nenhum,nenhum,1,Ruim
126,negativo,12,conta crítica/outros créditos existentes (não neste banco),2121,4,nenhum,nenhum,2,Bom
127,negativo,12,créditos existentes pagos devidamente até agora,701,4,nenhum,nenhum,1,Bom
128,regular,12,créditos existentes pagos devidamente até agora,639,4,nenhum,nenhum,1,Ruim
129,regular,12,conta crítica/outros créditos existentes (não neste banco),1860,4,nenhum,nenhum,2,Bom
130,negativo,12,conta crítica/outros créditos existentes (não neste banco),3499,3,co-requerente,nenhum,2,Ruim
131,regular,48,créditos existentes pagos devidamente até agora,8487,1,nenhum,nenhum,1,Bom
132,negativo,36,atraso no pagamento no passado,6887,4,nenhum,lojas,1,Ruim
133, inexistente,15,créditos existentes pagos devidamente até agora,2708,2,nenhum,banco,2,Bom
134, inexistente,18,créditos existentes pagos devidamente até agora,1984,4,nenhum,banco,2,Bom
135, inexistente,60,créditos existentes pagos devidamente até agora,10144,2,nenhum,nenhum,1,Bom
136, inexistente,12,conta crítica/outros créditos existentes (não neste banco),1240,4,nenhum,nenhum,2,Bom
137, inexistente,27,atraso no pagamento no passado,8613,2,nenhum,nenhum,2,Bom
138,regular,12,créditos existentes pagos devidamente até agora,766,4,nenhum,nenhum,1,Ruim
139,regular,15,conta crítica/outros créditos existentes (não neste banco),2728,4,fiador,banco,3,Bom
140,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,12,créditos existentes pagos devidamente até agora,1881,2,nenhum,nenhum,1,Bom
141,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,6,créditos existentes pagos devidamente até agora,709,2,nenhum,nenhum,1,Bom
142,regular,36,créditos existentes pagos devidamente até agora,4795,4,nenhum,nenhum,1,Bom
143,negativo,27,créditos existentes pagos devidamente até agora,3416,3,nenhum,nenhum,1,Bom
144,negativo,18,créditos existentes pagos devidamente até agora,2462,2,nenhum,nenhum,1,Ruim
145, inexistente,21,conta crítica/outros créditos existentes (não neste banco),2288,4,nenhum,nenhum,1,Bom
146,regular,48,todos os créditos deste banco foram devidamente pagos,3566,4,nenhum,nenhum,1,Bom
147,negativo,6,conta crítica/outros créditos existentes (não neste banco),860,1,nenhum,nenhum,2,Bom
148, inexistente,12,conta crítica/outros créditos existentes (não neste banco),682,4,nenhum,nenhum,2,Bom
149,negativo,36,conta crítica/outros créditos existentes (não neste banco),5371,3,fiador,nenhum,2,Bom
150, inexistente,18,conta crítica/outros créditos existentes (não neste banco),1582,4,nenhum,nenhum,2,Bom
151, inexistente,6,créditos existentes pagos devidamente até agora,1346,2,nenhum,banco,1,Bom
152, inexistente,10,créditos existentes pagos devidamente até agora,1924,1,nenhum,nenhum,1,Bom
153,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,36,créditos existentes pagos devidamente até agora,5848,4,nenhum,nenhum,1,Bom
154,regular,24,conta crítica/outros créditos existentes (não neste banco),7758,2,nenhum,nenhum,1,Bom
155,regular,24,atraso no pagamento no passado,6967,4,nenhum,nenhum,1,Bom
156,negativo,12,créditos existentes pagos devidamente até agora,1282,2,nenhum,nenhum,1,Ruim
157,negativo,9,conta crítica/outros créditos existentes (não neste banco),1288,3,fiador,nenhum,2,Bom
158,negativo,12,todos os créditos deste banco foram devidamente pagos,339,4,nenhum,banco,1,Bom
159,regular,24,créditos existentes pagos devidamente até agora,3512,2,nenhum,banco,2,Bom
160, inexistente,6,conta crítica/outros créditos existentes (não neste banco),1898,1,nenhum,nenhum,2,Bom
161, inexistente,24,conta crítica/outros créditos existentes (não neste banco),2872,3,nenhum,nenhum,1,Bom
162, inexistente,18,conta crítica/outros créditos existentes (não neste banco),1055,4,nenhum,nenhum,2,Bom
163, inexistente,15,créditos existentes pagos devidamente até agora,1262,4,nenhum,nenhum,2,Bom
164,regular,10,créditos existentes pagos devidamente até agora,7308,2,nenhum,banco,1,Bom
165, inexistente,36,créditos existentes pagos devidamente até agora,909,4,nenhum,nenhum,1,Bom
