ID,habitacao,tempo_res_atual,patrimonio,telefone,proposito,reserva,n_corresponsaveis,classe
1,própria,4,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
2,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Ruim
3,própria,3,imobiliária,Nenhum,educação,< 100,2,Bom
4,de graça,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,2,Bom
5,de graça,4,desconhecido/sem propriedade,Nenhum,carro (novo),< 100,2,Ruim
6,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",educação,desconhecido/semcontapoupança,2,Bom
7,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,500 - 1000,1,Bom
8,alugada,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
9,própria,4,imobiliária,Nenhum,rádio/televisão,> 1000,1,Bom
10,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Ruim
11,alugada,1,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Ruim
12,alugada,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,negócios,< 100,1,Ruim
13,própria,1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
14,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Ruim
15,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Bom
16,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,100 - 500,1,Ruim
17,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
18,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,negócios,desconhecido/semcontapoupança,1,Bom
19,de graça,2,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),< 100,1,Ruim
20,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,500 - 1000,2,Bom
21,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
22,alugada,3,imobiliária,Nenhum,rádio/televisão,500 - 1000,2,Bom
23,alugada,3,imobiliária,Nenhum,carro (novo),< 100,2,Bom
24,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (usado),100 - 500,1,Bom
25,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,desconhecido/semcontapoupança,1,Bom
26,própria,2,imobiliária,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
27,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
28,alugada,3,imobiliária,Nenhum,rádio/televisão,> 1000,1,Bom
29,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
30,própria,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",negócios,< 100,1,Ruim
31,própria,3,imobiliária,"Sim, registrado em nome do cliente",negócios,> 1000,1,Bom
32,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Bom
33,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),100 - 500,1,Bom
34,alugada,4,desconhecido/sem propriedade,Nenhum,negócios,desconhecido/semcontapoupança,1,Bom
